datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,NO,0.01
2021-07-01T00:00:00+03:00,NO2,0.03
2021-07-01T00:00:00+03:00,PM10,0.026
2021-08-01T00:00:00+03:00,NO2,0.034
2021-08-01T00:00:00+03:00,PM10,0.029
2021-08-01T00:00:00+03:00,NO,0.011
2021-09-01T00:00:00+03:00,NO,0.012
2021-09-01T00:00:00+03:00,NO2,0.022
2021-09-01T00:00:00+03:00,PM10,0.018
2021-10-01T00:00:00+03:00,NO,0.021
2021-10-01T00:00:00+03:00,NO2,0.028
2021-10-01T00:00:00+03:00,PM10,0.028
2021-11-01T00:00:00+03:00,NO2,0.022
2021-11-01T00:00:00+03:00,PM10,0.018
2021-11-01T00:00:00+03:00,NO,0.013
2021-12-01T00:00:00+03:00,NO2,0.026
2021-12-01T00:00:00+03:00,NO,0.019
2021-12-01T00:00:00+03:00,PM10,0.016
2022-01-01T00:00:00+03:00,NO2,0.032
2022-01-01T00:00:00+03:00,NO,0.009
2022-01-01T00:00:00+03:00,PM10,0.014
2022-02-01T00:00:00+03:00,NO,0.008
2022-02-01T00:00:00+03:00,NO2,0.039
2022-02-01T00:00:00+03:00,PM10,0.014
2022-03-01T00:00:00+03:00,NO,0.032
2022-03-01T00:00:00+03:00,PM10,0.028
2022-03-01T00:00:00+03:00,NO2,0.052
2022-04-01T00:00:00+03:00,NO2,0.034
2022-04-01T00:00:00+03:00,NO,0.008
2022-04-01T00:00:00+03:00,PM10,0.021
2022-05-01T00:00:00+03:00,PM10,0.021
2022-05-01T00:00:00+03:00,NO,0.006
2022-05-01T00:00:00+03:00,NO2,0.025
